Defense,Offense,Text
Illinois,Wisconsin,"Jonathan Taylor run for 19 yds to the WISCONSIN 44 for a 1ST down ILLINOIS Penalty, personal foul off-setting ( Yards) to the Illin 44 for a 1ST down"
Purdue,Indiana,"PURDUE Penalty, unsportsmanlike conduct off-setting ( Yards) to the Ind 33"
Nebraska,Iowa,"Toren Young run for no gain to the Iowa 18 NEBRASKA Penalty, unsportsmanlike conduct off-setting ( Yards) to the Iowa 18"
Rutgers,Iowa,"Mekhi Sargent run for a loss of 4 yards to the Iowa 4 RUTGERS Penalty, personal foul off-setting ( Yards) to the Iowa 4"
Kent State,Miami (OH),"Kyle Kramer punt for 41 yds, downed at the KENTST 16 KENT ST Penalty, kick catching interference off-setting ( Yards) to the KntSt 16"
Eastern Kentucky,Kentucky,"Patrick Towles pass complete to Jeff Badet for 36 yds for a TD EASTRN KENTUCKY Penalty, unsportsmanlike conduct off-setting ( Yards) to the EKent 0, (Miles Butler PAT MISSED)"
Northwestern,Kentucky,"NORTHWESTERN Penalty, Targeting ( Paddy Fisher ), KENTUCKY Penalty, Personal Foul, offsetting. Fisher ejected."
Southern Mississippi,Kentucky,"Sihiem King run for no gain to the Kent 39 KENTUCKY Penalty, unsportsmanlike conduct off-setting ( Yards) to the Kent 39"
Kentucky,Tennessee,"Brent Cimaglia kickoff for 65 yds , Lynn Bowden Jr. return for 33 yds to the KENTUCKY 32 TENNESSEE Penalty, unsportsmanlike conduct off-setting ( Yards) to the Kent 33"
Tennessee,Kentucky,"Stephen Johnson run for 12 yds to the Tenn 33 for a 1ST down TENNESSEE Penalty, unsportsmanlike conduct off-setting ( Yards) to the Tenn 33 for a 1ST down"
Kentucky,Tennessee,"Tim Jordan run for 3 yds for a TD PENALTY UT unsportsmanlike conduct off-setting, PENALTY UK unsportsmanlike conduct off-setting, NO PLAY. KENTUCKY Penalty, offside defense ( Yards) declined (Brent Cimaglia KICK)"
Missouri,Kentucky,"Lynn Bowden Jr. run for 34 yds to the KENTUCKY 34 for a 1ST down KENTUCKY Penalty, personal foul off-setting ( Yards) to the Misso 34 for a 1ST down"
Kentucky,Vanderbilt,"Keyon Brooks run for 4 yds to the Kent 13 KENTUCKY Penalty, unsportsmanlike conduct off-setting ( Yards) to the Kent 13"
UMass,Liberty,"MASSACHUSETTS Penalty, personal foul off-setting ( Yards) to the Liber 45"
UMass,Liberty,"MASSACHUSETTS Penalty, unsportsmanlike conduct off-setting ( Yards) to the Liber 48"
Liberty,NC State,"Bailey Hockman pass intercepted Cedric Stone return for 14 yds to the Liber 16 LIBERTY Penalty, personal foul off-setting ( Yards) to the Liber 16"
Louisiana Monroe,Louisiana,"Terrance Broadway run for 1 yd to the LaMon 14 UL MONROE Penalty, unsportsmanlike conduct off-setting ( Yards) to the LaMon 14"
Louisiana Monroe,Troy,"Jed Solomon kickoff for 51 yds , Alex Johnson return for no gain to the LaMon 35 TROY Penalty, unsportsmanlike conduct off-setting ( Yards) to the LaMon 14"
Oklahoma,Louisiana Monroe,"OKLAHOMA Penalty, unsportsmanlike conduct off-setting ( Yards) to the LaMon 48"
Louisiana Monroe,New Mexico,"UL MONROE Penalty, personal foul off-setting ( Yards) to the LaMon 35"
Louisiana Monroe,New Mexico,"Richard McQuarley run for 3 yds to the LaMon 6 UL MONROE Penalty, personal foul off-setting ( Yards) to the LaMon 6"
Louisiana Monroe,New Mexico,"Daryl Chestnut run for 2 yds to the LaMon 4 UL MONROE Penalty, unsportsmanlike conduct off-setting ( Yards) to the LaMon 4"
Louisiana Monroe,South Alabama,"Dallas Davis pass complete to Josh Magee for 6 yds to the SAlab 39 for a 1ST down UL MONROE Penalty, unsportsmanlike conduct off-setting ( Yards) to the SAlab 39 for a 1ST down"
